[3/29/2025 4:49:55 AM] Orders: 50, Refunds: 13
[3/29/2025 4:50:07 AM] Orders: 50, Refunds: 13
[3/29/2025 4:50:10 AM] Orders: 50, Refunds: 13
[3/29/2025 4:50:12 AM] Orders: 50, Refunds: 13
[3/29/2025 4:50:13 AM] Orders: 50, Refunds: 13
[3/29/2025 4:50:15 AM] Orders: 50, Refunds: 13
[3/29/2025 4:52:03 AM] Orders: 50, Refunds: 13
[3/29/2025 4:54:46 AM] Orders: 50, Refunds: 13
[3/29/2025 4:54:59 AM] Orders: 50, Refunds: 13
[3/29/2025 4:55:04 AM] Orders: 50, Refunds: 13
[3/29/2025 2:15:26 PM] Orders: 50, Refunds: 13
[3/29/2025 2:17:54 PM] Orders: 50, Refunds: 13
[3/29/2025 2:26:36 PM] Orders: 50, Refunds: 13
[3/29/2025 2:28:12 PM] Orders: 50, Refunds: 13
[3/29/2025 2:39:38 PM] Orders: 50, Refunds: 13
[3/29/2025 2:40:39 PM] Orders: 50, Refunds: 13
[3/29/2025 2:44:08 PM] Orders: 51, Refunds: 13
[3/29/2025 2:56:45 PM] Orders: 52, Refunds: 13
[3/29/2025 3:05:44 PM] Orders: 52, Refunds: 14
[3/29/2025 3:11:16 PM] Orders: 52, Refunds: 14
[3/29/2025 3:15:19 PM] Orders: 52, Refunds: 14
[3/29/2025 3:18:42 PM] Orders: 52, Refunds: 14
[3/29/2025 3:19:56 PM] Orders: 52, Refunds: 14
[3/29/2025 3:21:03 PM] Orders: 52, Refunds: 14
[3/29/2025 3:21:20 PM] Orders: 52, Refunds: 14
[3/29/2025 3:31:07 PM] Orders: 53, Refunds: 14
[3/29/2025 3:33:51 PM] Orders: 53, Refunds: 14
[3/29/2025 3:35:47 PM] Orders: 53, Refunds: 14
[3/29/2025 3:38:09 PM] Orders: 53, Refunds: 14
[3/29/2025 3:41:19 PM] Orders: 53, Refunds: 14
[3/29/2025 3:41:43 PM] Orders: 53, Refunds: 14
[3/29/2025 3:41:54 PM] Orders: 53, Refunds: 14
[3/29/2025 3:42:44 PM] Orders: 53, Refunds: 14
[3/29/2025 3:47:56 PM] Orders: 53, Refunds: 14
[3/29/2025 3:55:44 PM] Orders: 53, Refunds: 14
[3/29/2025 3:56:50 PM] Orders: 53, Refunds: 14
[3/29/2025 4:01:26 PM] Orders: 53, Refunds: 14
[3/29/2025 4:01:44 PM] Orders: 53, Refunds: 14
[3/29/2025 4:20:11 PM] Orders: 53, Refunds: 14
[3/29/2025 4:24:08 PM] Orders: 53, Refunds: 14
[3/29/2025 4:24:14 PM] Orders: 53, Refunds: 14
[3/29/2025 4:25:56 PM] Orders: 53, Refunds: 14
[3/29/2025 4:35:47 PM] Orders: 53, Refunds: 14
[3/29/2025 4:35:53 PM] Orders: 53, Refunds: 14
[3/29/2025 4:35:56 PM] Orders: 53, Refunds: 14
[3/29/2025 4:36:05 PM] Orders: 53, Refunds: 14
[3/29/2025 4:36:08 PM] Orders: 53, Refunds: 14
[3/29/2025 4:49:09 PM] Orders: 53, Refunds: 14
[3/29/2025 4:52:08 PM] Orders: 53, Refunds: 14
[3/29/2025 5:26:28 PM] Orders: 53, Refunds: 14
[3/29/2025 6:45:01 PM] Orders: 53, Refunds: 14
[3/29/2025 6:51:58 PM] Orders: 53, Refunds: 14
[3/29/2025 7:45:42 PM] Orders: 53, Refunds: 14
[3/29/2025 7:48:34 PM] Orders: 53, Refunds: 14
[3/29/2025 7:52:07 PM] Orders: 53, Refunds: 14
[3/29/2025 7:53:48 PM] Orders: 53, Refunds: 14
[3/29/2025 8:00:53 PM] Orders: 53, Refunds: 14
[3/29/2025 8:01:03 PM] Orders: 53, Refunds: 14
[3/29/2025 8:01:10 PM] Orders: 53, Refunds: 14
[3/29/2025 8:24:43 PM] Orders: 53, Refunds: 14
[3/29/2025 9:00:41 PM] Orders: 53, Refunds: 14
[3/29/2025 9:03:50 PM] Orders: 53, Refunds: 14
[3/29/2025 9:20:10 PM] Orders: 53, Refunds: 14
[3/29/2025 9:20:15 PM] Orders: 53, Refunds: 14
[3/29/2025 9:20:17 PM] Orders: 53, Refunds: 14
[3/29/2025 9:20:22 PM] Orders: 53, Refunds: 14
[3/29/2025 9:20:27 PM] Orders: 53, Refunds: 14
[3/29/2025 9:20:32 PM] Orders: 53, Refunds: 14
[3/29/2025 9:20:33 PM] Orders: 53, Refunds: 14
[3/29/2025 9:20:36 PM] Orders: 53, Refunds: 14
[3/29/2025 9:20:39 PM] Orders: 53, Refunds: 14
[3/29/2025 9:20:44 PM] Orders: 53, Refunds: 14
[3/29/2025 9:28:19 PM] Orders: 53, Refunds: 14
[3/29/2025 9:41:01 PM] Orders: 53, Refunds: 14
[3/29/2025 9:51:19 PM] Orders: 53, Refunds: 14
[3/29/2025 9:55:12 PM] Orders: 53, Refunds: 14
[3/29/2025 9:55:16 PM] Orders: 53, Refunds: 14
[3/29/2025 10:07:53 PM] Orders: 53, Refunds: 14
[3/29/2025 10:07:55 PM] Orders: 53, Refunds: 14
[3/29/2025 10:07:59 PM] Orders: 53, Refunds: 14
[3/29/2025 10:10:14 PM] Orders: 53, Refunds: 14
[3/29/2025 10:14:42 PM] Orders: 53, Refunds: 14
[4/1/2025 1:38:02 AM] Orders: 81, Refunds: 14
[4/1/2025 2:24:10 AM] Orders: 81, Refunds: 14
[4/1/2025 2:24:23 AM] Orders: 81, Refunds: 14
[4/1/2025 2:30:15 AM] Orders: 81, Refunds: 14
[4/1/2025 2:36:45 AM] Orders: 81, Refunds: 14
[4/1/2025 2:41:14 AM] Orders: 81, Refunds: 14
[1/4/2025 4:02:31 pm] Orders: 81, Refunds: 14
[1/4/2025 4:04:52 pm] Orders: 81, Refunds: 14
